index,best,m0,m1,m2,m3
0,1,False,True,False,False
1,3,False,False,False,True
2,3,False,False,False,True
3,1,False,True,False,False
4,1,False,True,False,False
5,1,False,True,False,False
6,3,False,False,False,True
7,1,False,True,False,False
8,3,False,False,False,True
9,1,False,True,False,False
10,1,False,True,False,False
11,3,False,False,False,True
12,1,False,True,False,False
13,2,False,False,True,False
14,1,False,True,False,False
15,2,False,False,True,False
16,3,False,False,False,True
17,3,False,False,False,True
18,3,False,False,False,True
19,0,True,False,False,False
20,1,False,True,False,False
21,1,False,True,False,False
22,2,False,False,True,False
23,3,False,False,False,True
24,1,False,True,False,False
25,3,False,False,False,True
26,3,False,False,False,True
27,3,False,False,False,True
28,2,False,False,True,False
29,3,False,False,False,True
30,1,False,True,False,False
31,1,False,True,False,False
32,1,False,True,False,False
33,1,False,True,False,False
34,1,False,True,False,False
35,1,False,True,False,False
36,2,False,False,True,False
37,2,False,False,True,False
38,1,False,True,False,False
39,3,False,False,False,True
40,1,False,True,False,False
41,1,False,True,False,False
42,1,False,True,False,False
43,3,False,False,False,True
44,1,False,True,False,False
45,1,False,True,False,False
46,3,False,False,False,True
47,3,False,False,False,True
48,3,False,False,False,True
49,1,False,True,False,False
50,1,False,True,False,False
51,3,False,False,False,True
52,1,False,True,False,False
53,1,False,True,False,False
54,3,False,False,False,True
55,3,False,False,False,True
56,1,False,True,False,False
57,1,False,True,False,False
58,3,False,False,False,True
59,1,False,True,False,False
60,1,False,True,False,False
61,1,False,True,False,False
62,1,False,True,False,False
63,1,False,True,False,False
64,1,False,True,False,False
65,3,False,False,False,True
66,1,False,True,False,False
67,1,False,True,False,False
68,3,False,False,False,True
69,0,True,False,False,False
70,2,False,False,True,False
71,3,False,False,False,True
72,3,False,False,False,True
73,1,False,True,False,False
74,1,False,True,False,False
75,1,False,True,False,False
76,1,False,True,False,False
77,3,False,False,False,True
78,3,False,False,False,True
79,1,False,True,False,False
80,1,False,True,False,False
81,2,False,False,True,False
82,1,False,True,False,False
83,1,False,True,False,False
84,3,False,False,False,True
85,1,False,True,False,False
86,1,False,True,False,False
87,1,False,True,False,False
88,1,False,True,False,False
89,1,False,True,False,False
90,1,False,True,False,False
91,1,False,True,False,False
92,1,False,True,False,False
93,1,False,True,False,False
94,1,False,True,False,False
95,1,False,True,False,False
96,2,False,False,True,False
97,1,False,True,False,False
98,1,False,True,False,False
99,1,False,True,False,False
100,1,False,True,False,False
101,1,False,True,False,False
102,1,False,True,False,False
103,3,False,False,False,True
104,3,False,False,False,True
105,2,False,False,True,False
106,3,False,False,False,True
107,1,False,True,False,False
108,3,False,False,False,True
109,1,False,True,False,False
110,1,False,True,False,False
111,1,False,True,False,False
112,1,False,True,False,False
113,1,False,True,False,False
114,1,False,True,False,False
115,1,False,True,False,False
116,3,False,False,False,True
117,3,False,False,False,True
118,1,False,True,False,False
119,3,False,False,False,True
120,3,False,False,False,True
121,1,False,True,False,False
122,1,False,True,False,False
123,0,True,False,False,False
124,1,False,True,False,False
125,1,False,True,False,False
126,1,False,True,False,False
127,1,False,True,False,False
128,2,False,False,True,False
129,3,False,False,False,True
130,2,False,False,True,False
131,2,False,False,True,False
132,1,False,True,False,False
133,1,False,True,False,False
134,3,False,False,False,True
135,2,False,False,True,False
136,1,False,True,False,False
137,0,True,False,False,False
138,3,False,False,False,True
139,1,False,True,False,False
140,3,False,False,False,True
141,1,False,True,False,False
142,3,False,False,False,True
143,3,False,False,False,True
144,1,False,True,False,False
145,1,False,True,False,False
146,2,False,False,True,False
147,1,False,True,False,False
148,1,False,True,False,False
149,1,False,True,False,False
150,1,False,True,False,False
151,3,False,False,False,True
152,1,False,True,False,False
153,1,False,True,False,False
154,1,False,True,False,False
155,1,False,True,False,False
156,1,False,True,False,False
157,1,False,True,False,False
158,1,False,True,False,False
159,1,False,True,False,False
160,1,False,True,False,False
161,2,False,False,True,False
162,1,False,True,False,False
163,3,False,False,False,True
164,1,False,True,False,False
165,2,False,False,True,False
166,1,False,True,False,False
167,1,False,True,False,False
168,1,False,True,False,False
169,3,False,False,False,True
170,1,False,True,False,False
171,1,False,True,False,False
172,1,False,True,False,False
173,3,False,False,False,True
174,1,False,True,False,False
175,2,False,False,True,False
176,1,False,True,False,False
177,3,False,False,False,True
178,1,False,True,False,False
179,1,False,True,False,False
180,1,False,True,False,False
181,1,False,True,False,False
182,2,False,False,True,False
183,1,False,True,False,False
184,1,False,True,False,False
185,1,False,True,False,False
186,3,False,False,False,True
187,2,False,False,True,False
188,2,False,False,True,False
189,1,False,True,False,False
190,1,False,True,False,False
191,1,False,True,False,False
192,2,False,False,True,False
193,1,False,False,False,False
194,2,False,False,True,False
195,2,False,False,True,False
196,2,False,False,True,False
197,1,False,True,False,False
198,1,False,True,False,False
199,2,False,False,True,False
200,1,False,True,False,False
